Sequence_ID	sample_name
ASV_100925	MayberryNW_CattailA_D1
ASV_100926	WestPond_TuleB_D1
ASV_10093	MayberryNE_TuleA_D2
ASV_100932	Sandmound_ThreeSqC_D1
ASV_100933	MayberryNE_TuleA_D1
ASV_100937	Sandmound_ThreeSqA_D1
ASV_100938	MayberryNE_TuleB_D2
ASV_100939	MayberryNE_CattailC_D2
ASV_100941	Browns_ThreeSqA_D1
ASV_100944	MayberrySE_CattailC_D1
ASV_100947	MayberrySE_CattailC_D1
ASV_100949	Browns_ThreeSqA_D2
ASV_10095	Ran_d2_Rcc_e40_1
ASV_100950	MayberryNE_TuleA_D1
ASV_100953	MayberrySE_CattailA_D2
ASV_100954	MayberryNW_TuleA_D1
ASV_100955	MayberryNW_TuleA_D1
ASV_100958	MayberryNW_TuleB_D1
ASV_100959	WestPond_TuleB_D2
ASV_10096	TL_inc_d1_ASW_3
ASV_100960	Browns_ThreeSqA_D1
ASV_100962	Sandmound_TuleA_D1
ASV_100964	Sandmound_ThreeSqA_D1
ASV_100965	MayberryNW_TuleC_D1
ASV_100967	Sandmound_ThreeSqC_D1
ASV_100969	WestPond_CattailB_D1
ASV_10097	Alt_d1_Ctrl_10T
ASV_100972	MayberrySE_TuleC_D2
ASV_100977	WestPond_TuleA_D2
ASV_100978	Browns_ThreeSqB_D2
ASV_100979	WestPond_CattailB_D1
ASV_10098	Ran_d1_Rcc_e40_1
ASV_100981	MayberryNW_CattailA_D1
ASV_100983	Sandmound_ThreeSqB_D2
ASV_100984	MayberryNE_CattailA_D1
ASV_100986	WestPond_CattailA_D2
ASV_100987	Sandmound_ThreeSqC_D2
ASV_100988	Sandmound_TuleA_D1
ASV_100989	Browns_ThreeSqA_D1
ASV_100990	MayberrySE_TuleA_D1
ASV_100992	Browns_TuleC_D1
ASV_100993	Browns_ThreeSqA_D1
ASV_100995	WestPond_CattailA_D1
ASV_100997	Browns_ThreeSqC_D2
ASV_100998	WestPond_TuleC_D2
ASV_101	Browns_ThreeSqA_D2
ASV_1010	Ran_d1_Rcc_e40_1
ASV_10100	Browns_TuleC_D1
ASV_101001	MayberryNE_TuleB_D2
ASV_101005	Sandmound_ThreeSqB_D1
ASV_101008	MayberrySE_TuleB_D2
ASV_10101	Browns_TuleC_D1
ASV_101012	Browns_TuleA_D2
ASV_101014	Sandmound_TuleA_D2
ASV_10102	Sandmound_TuleC_D2
ASV_101020	MayberryNW_TuleA_D1
ASV_101021	MayberryNE_CattailA_D2
ASV_101022	Sandmound_ThreeSqC_D2
ASV_101024	MayberryNW_CattailC_D2
ASV_101025	MayberryNE_CattailA_D1
ASV_101026	MayberryNW_TuleA_D1
ASV_101027	WestPond_CattailA_D2
ASV_10103	Browns_ThreeSqA_D1
ASV_101030	WestPond_CattailB_D1
ASV_10104	MayberryNE_CattailB_D2
ASV_101040	Sandmound_ThreeSqA_D2
ASV_101041	MayberryNE_TuleC_D2
ASV_101044	Sandmound_ThreeSqB_D2
ASV_101047	MayberrySE_CattailC_D1
ASV_101048	Sandmound_TuleC_D2
ASV_10105	WestPond_CattailA_D2
ASV_101051	MayberryNE_TuleC_D1
ASV_101052	MayberryNE_TuleB_D2
ASV_10106	Browns_ThreeSqA_D2
ASV_101062	WestPond_CattailA_D1
ASV_101065	MayberryNE_CattailC_D1
ASV_101066	MayberryNE_TuleC_D2
ASV_101068	MayberrySE_TuleA_D2
ASV_101069	MayberrySE_CattailB_D2
ASV_10107	Browns_TuleC_D1
ASV_101071	Browns_ThreeSqB_D1
ASV_101079	MayberrySE_CattailC_D1
ASV_10108	Sandmound_TuleB_D2
ASV_101081	Sandmound_CattailA_D2
ASV_101083	MayberryNE_TuleC_D1
ASV_101084	Sandmound_ThreeSqA_D1
ASV_101089	MayberryNE_CattailB_D1
ASV_10109	Ran_d1_Rcc_e40_1
ASV_101091	Browns_TuleA_D2
ASV_101092	MayberryNE_TuleA_D2
ASV_101098	MayberryNE_TuleB_D2
ASV_101099	Sandmound_TuleC_D1
ASV_1011	Browns_ThreeSqC_D2
ASV_10110	Ran_d1_Rcc_e40_2
ASV_101100	Sandmound_ThreeSqB_D2
ASV_101101	Browns_ThreeSqA_D1
ASV_101102	MayberryNE_TuleC_D1
ASV_101103	MayberryNE_CattailA_D1
ASV_101104	MayberryNW_TuleA_D2
ASV_101106	Sandmound_ThreeSqB_D2
ASV_10111	Alt_d1_Ctrl_10T
ASV_101112	MayberryNE_CattailB_D1
ASV_101113	MayberryNW_TuleB_D2
ASV_101115	WestPond_TuleA_D2
ASV_101117	Browns_ThreeSqA_D1
ASV_10112	Alt_d1_Ctrl_10T
ASV_101120	MayberrySE_TuleB_D2
ASV_101122	MayberryNW_TuleC_D1
ASV_101123	Browns_TuleC_D1
ASV_101125	Sandmound_ThreeSqC_D1
ASV_101126	Sandmound_ThreeSqC_D2
ASV_101128	WestPond_CattailC_D2
ASV_10113	Ran_d1_Rcc_e40_1
ASV_101130	WestPond_TuleA_D2
ASV_101133	WestPond_CattailB_D2
ASV_101134	Sandmound_ThreeSqC_D2
ASV_10114	Ran_d1_Rcc_e40_2
ASV_101140	Sandmound_ThreeSqB_D2
ASV_101143	WestPond_TuleA_D1
ASV_101144	Browns_TuleA_D2
ASV_101145	MayberryNW_CattailB_D2
ASV_101146	WestPond_TuleC_D1
ASV_101147	WestPond_CattailA_D1
ASV_101153	Sandmound_TuleC_D2
ASV_101154	Browns_ThreeSqC_D1
ASV_101158	MayberryNE_CattailA_D2
ASV_10116	Sandmound_ThreeSqA_D1
ASV_101160	MayberryNE_TuleB_D1
ASV_101161	MayberryNE_CattailC_D2
ASV_101163	MayberryNE_CattailA_D1
ASV_101168	WestPond_CattailA_D2
ASV_10117	MayberryNE_CattailB_D2
ASV_101175	WestPond_TuleA_D2
ASV_10118	Browns_ThreeSqB_D1
ASV_101186	MayberryNE_TuleA_D1
ASV_101188	WestPond_CattailB_D1
ASV_10119	Browns_ThreeSqA_D1
ASV_101190	WestPond_CattailB_D2
ASV_101191	Sandmound_TuleC_D1
ASV_101192	MayberryNE_TuleA_D2
ASV_101194	Browns_TuleC_D1
ASV_101196	Browns_TuleC_D1
ASV_101197	MayberryNE_TuleA_D1
ASV_1012	Browns_ThreeSqA_D2
ASV_10120	Browns_ThreeSqA_D1
ASV_101201	Sandmound_CattailA_D1
ASV_101205	Browns_ThreeSqA_D2
ASV_101208	Browns_TuleB_D1
ASV_10121	MayberryNE_TuleC_D2
ASV_101211	WestPond_TuleA_D1
ASV_101213	MayberryNE_CattailB_D2
ASV_101216	MayberryNW_CattailA_D2
ASV_101218	MayberrySE_TuleC_D1
ASV_10122	Browns_ThreeSqA_D1
ASV_101221	WestPond_TuleA_D1
ASV_101223	Sandmound_CattailA_D1
ASV_101225	MayberryNW_TuleA_D1
ASV_101229	Browns_ThreeSqB_D1
ASV_10123	Browns_ThreeSqA_D2
ASV_101233	Sandmound_CattailA_D1
ASV_101234	MayberryNE_TuleB_D2
ASV_101236	MayberryNE_CattailA_D1
ASV_101239	Sandmound_TuleB_D2
ASV_101240	Browns_TuleC_D1
ASV_101243	WestPond_TuleC_D2
ASV_101244	Sandmound_TuleA_D1
ASV_101247	MayberryNE_TuleC_D1
ASV_101248	MayberryNE_TuleB_D2
ASV_10125	MayberryNE_CattailB_D1
ASV_101250	Browns_ThreeSqB_D2
ASV_101251	MayberryNW_CattailC_D1
ASV_101254	MayberryNW_CattailA_D2
ASV_101255	MayberryNE_TuleA_D1
ASV_10126	MayberryNE_CattailA_D1
ASV_101260	Sandmound_ThreeSqA_D1
ASV_101261	MayberryNE_TuleC_D1
ASV_101264	Sandmound_TuleA_D1
ASV_101266	MayberryNW_CattailA_D1
ASV_101267	Browns_ThreeSqA_D1
ASV_101268	Browns_ThreeSqC_D1
ASV_101271	Browns_TuleB_D1
ASV_101272	WestPond_TuleB_D2
ASV_101273	MayberryNE_TuleA_D2
ASV_101274	MayberryNE_TuleC_D1
ASV_101276	WestPond_CattailA_D2
ASV_101277	MayberryNE_TuleA_D1
ASV_101279	Sandmound_CattailA_D2
