#OTU	Ran_d1_Rcc_e00_1	Ran_d1_Rcc_e00_2	Ran_d1_Rcc_e40_1	Ran_d1_Rcc_e40_2	Ran_d1_Sal_e00_1	Ran_d1_Sal_e00_2	Ran_d1_Sal_e40_1	Ran_d1_Sal_e40_2	Ran_d1_Stw_e00_1	Ran_d1_Stw_e00_2	Ran_d1_Stw_e40_1	Ran_d1_Stw_e40_2	Ran_d1_Stw_e40_3	Ran_d2_Rcc_e00_1	Ran_d2_Rcc_e00_2	Ran_d2_Rcc_e40_1	Ran_d2_Rcc_e40_2	Ran_d2_Sal_e00_1	Ran_d2_Sal_e00_2	Ran_d2_Sal_e40_1	Ran_d2_Sal_e40_2	Ran_d2_Stw_e00_1	Ran_d2_Stw_e00_2	Ran_d2_Stw_e40_1	Ran_d2_Stw_e40_2	Ran_d2_Stw_e40_3	TS_FW_d1_00_1	TS_FW_d1_00_2	TS_FW_d1_04_1	TS_FW_d1_04_2	TS_FW_d1_07_1	TS_FW_d1_07_2	TS_FW_d1_12_1	TS_FW_d1_12_2	TS_FW_d2_00_1	TS_FW_d2_00_2	TS_FW_d2_04_1	TS_FW_d2_04_2	TS_FW_d2_07_1	TS_FW_d2_07_2	TS_FW_d2_12_1	TS_FW_d2_12_2	TS_SW_d1_04_1	TS_SW_d1_04_2	TS_SW_d1_07_1	TS_SW_d1_07_2	TS_SW_d1_12_1	TS_SW_d1_12_2	TS_SW_d2_04_1	TS_SW_d2_04_2	TS_SW_d2_07_1	TS_SW_d2_07_2	TS_SW_d2_12_1	TS_SW_d2_12_2	d1_Ran_0_1	d1_Ran_0_2	d1_Ran_F_e00_1	d1_Ran_F_e00_2	d1_Ran_F_e40_1	d1_Ran_F_e40_2	d1_Rcc_0_1	d1_Rcc_F_e00_1	d1_Rcc_F_e00_2	d1_Rcc_F_e40_1	d1_Rcc_F_e40_2	d1_Sal_0_1	d1_Sal_F_e00_1	d1_Sal_F_e00_2	d1_Sal_F_e40_1	d1_Sal_F_e40_2	d1_Stw_0_1	d1_Stw_F_e00_1	d1_Stw_F_e00_2	d1_Stw_F_e40_1	d2_Ran_0_1	d2_Ran_0_2	d2_Ran_F_e00_1	d2_Ran_F_e40_1	d2_Ran_F_e40_2	d2_Rcc_0_1	d2_Rcc_F_e00_1	d2_Rcc_F_e40_1	d2_Rcc_F_e40_2	d2_Sal_0_1	d2_Sal_F_e00_1	d2_Sal_F_e00_2	d2_Sal_F_e40_1	d2_Sal_F_e40_2	d2_Stw_0_1	d2_Stw_F_e00_1	d2_Stw_F_e00_2	d2_Stw_F_e40_1	Consensus lineage
3097	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	1	1	1	0	2	25	1	9	32	32	22	0	0	0	2	2	0	0	1	5	1	29	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	6	5	1	0	12	4	0	0	0	0	1	5	0	0	1	
3102	3	1	2	1	2	5	0	0	0	0	0	2	0	7	5	5	4	13	6	6	4	1	0	0	2	0	2	6	5	6	4	4	8	0	8	3	4	0	0	2	2	0	2	2	1	6	3	15	1	3	2	0	4	0	0	6	4	2	4	6	4	4	2	3	2	1	2	1	0	1	0	0	0	0	1	0	0	7	1	0	3	1	0	4	1	0	1	0	0	0	0	0	
3160	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	0	1	0	0	0	0	4	0	1	0	0	139	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	9	6	0	2	0	0	0	0	0	0	0	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
3508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	27	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	11	
3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	
3751	7	1	3	6	34	14	14	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	9	2	5	0	31	0	2	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
3783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	2	0	0	0	2	0	86	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3812	0	1	3	4	1	7	4	0	3	0	1	1	0	1	0	1	0	0	2	1	0	0	0	2	0	0	2	2	2	3	1	7	13	0	4	1	4	3	1	4	5	0	0	1	0	7	1	5	4	1	4	2	10	0	1	3	0	0	0	0	2	0	1	0	3	2	4	6	7	3	2	0	0	0	3	0	0	5	4	0	0	0	0	3	0	0	1	0	0	0	0	1	
3953	0	0	1	0	1	0	1	2	0	0	0	1	0	1	2	2	0	0	3	2	2	0	0	0	0	0	4	6	5	5	3	4	10	0	1	4	2	1	2	2	1	0	2	3	3	3	0	2	4	2	1	1	4	2	0	7	1	0	2	4	2	0	0	3	1	1	0	0	1	0	0	0	0	0	5	6	1	8	2	2	0	6	7	3	0	0	1	1	1	0	0	1	
3959	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	10	1	6	3	2	6	6	0	3	10	1	6	3	13	8	1	1	5	10	5	0	6	1	2	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	0	0	0	0	1	0	0	1	0	18	0	11	0	0	0	0	0	0	0	0	0	0	
